Urbanización,Área (m2),Valor (balboas)
Ancón,230273,56532395
Albrook,60915,17322604
Altos de Diablo,254,84700
Altos de Panamá,222,67450
Clayton Village,180,54880
Dorado Springs,4238,1776175
Los Llanos de Curundu,2365,637750
Ville di Firenze,4293,1614330
Amador,64420,6528801
Balboa,2488,349025
Cárdenas,17395,7812380
Clayton,3292,239275
Paraíso,280,73610
Bella Vista,158492,38863595
Campo Alegre,1081,350000
El Cangrejo,40067,12304508
Nuevo Reparto El Carmen,5513,1759117
Marbella,77705,12735218
Obarrio,21099,6788284
La Alameda,445,148660
Linda Vista,92,15435
Los Ángeles,3733,217605
Villa de Las Fuentes,666,188825
El Dorado,12094,3763639
Altos de Villa Lobo II,5028,958720
Vista Hermosa,28283,9560370
Río Abajo,46073,9254187
San Francisco,637328,180164160
Coco del Mar,17382,3822550
Tocumen,87695,15529055
Altos de Tocumen,3108,393705
